,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2,78.0,100.0,104.0,81.0,82.0,104.0,104.0,85.0,82.0,104.0,108.0,85.0,79.0,99.0,105.0,83.0,83.0,103.0,114.0,86.0,79.0,99.0,105.0,83.0,78.0,102.0,110.0,83.0,82.0,102.0,105.0,83.0,82.0,102.0,101.0,80.0
3,82.0,104.0,104.0,85.0,82.0,104.0,108.0,85.0,82.0,100.0,108.0,85.0,83.0,103.0,114.0,86.0,79.0,99.0,105.0,83.0,79.0,95.0,101.0,79.0,82.0,102.0,105.0,83.0,82.0,102.0,101.0,80.0,78.0,102.0,105.0,80.0
4,82.0,104.0,108.0,85.0,82.0,100.0,108.0,85.0,78.0,96.0,96.0,78.0,79.0,99.0,105.0,83.0,79.0,95.0,101.0,79.0,83.0,95.0,93.0,75.0,82.0,102.0,101.0,80.0,78.0,102.0,105.0,80.0,78.0,97.0,101.0,80.0
5,82.0,100.0,108.0,85.0,78.0,96.0,96.0,78.0,78.0,91.0,92.0,70.0,79.0,95.0,101.0,79.0,83.0,95.0,93.0,75.0,83.0,91.0,97.0,72.0,78.0,102.0,105.0,80.0,78.0,97.0,101.0,80.0,82.0,92.0,93.0,76.0
6,74.0,87.0,88.0,70.0,78.0,87.0,84.0,70.0,74.0,87.0,88.0,66.0,79.0,88.0,93.0,68.0,79.0,91.0,93.0,72.0,75.0,91.0,93.0,68.0,82.0,88.0,97.0,73.0,78.0,92.0,97.0,73.0,78.0,88.0,93.0,73.0
11,90.0,104.0,112.0,85.0,90.0,109.0,112.0,85.0,90.0,109.0,117.0,89.0,92.0,108.0,114.0,90.0,96.0,108.0,114.0,90.0,96.0,112.0,114.0,90.0,93.0,115.0,114.0,90.0,93.0,111.0,119.0,90.0,89.0,111.0,114.0,87.0
12,90.0,109.0,117.0,89.0,90.0,109.0,112.0,89.0,90.0,109.0,112.0,89.0,96.0,112.0,114.0,90.0,92.0,108.0,110.0,90.0,87.0,108.0,110.0,90.0,89.0,111.0,114.0,87.0,89.0,106.0,114.0,87.0,89.0,106.0,110.0,87.0
13,90.0,104.0,112.0,85.0,90.0,104.0,112.0,89.0,86.0,104.0,108.0,89.0,92.0,108.0,114.0,86.0,92.0,108.0,110.0,86.0,92.0,108.0,110.0,86.0,93.0,106.0,114.0,87.0,89.0,111.0,110.0,87.0,85.0,106.0,110.0,87.0
14,90.0,109.0,108.0,89.0,86.0,104.0,112.0,85.0,86.0,104.0,104.0,81.0,87.0,103.0,105.0,83.0,92.0,103.0,110.0,83.0,92.0,103.0,110.0,86.0,89.0,106.0,114.0,90.0,93.0,106.0,105.0,90.0,89.0,111.0,110.0,83.0
15,86.0,104.0,112.0,85.0,86.0,104.0,104.0,81.0,86.0,96.0,104.0,81.0,92.0,103.0,110.0,83.0,92.0,103.0,110.0,86.0,87.0,99.0,105.0,83.0,93.0,106.0,105.0,90.0,89.0,111.0,110.0,83.0,89.0,111.0,114.0,87.0
