,argument,ph,lof,svm
0,"('dbscan', 5, 3)",0.5,0.6837920000000001,0.42408
1,"('dbscan', 5, 4)",0.5,0.6837920000000001,0.42408
2,"('dbscan', 5, 5)",0.5,0.6837920000000001,0.42408
3,"('dbscan', 5, 6)",0.5,0.6837920000000001,0.42408
4,"('dbscan', 5, 7)",0.5,0.6837920000000001,0.42408
5,"('dbscan', 5, 8)",0.5,0.6837920000000001,0.42408
6,"('dbscan', 6, 3)",0.5,0.6837920000000001,0.42408
7,"('dbscan', 6, 4)",0.5,0.6837920000000001,0.42408
8,"('dbscan', 6, 5)",0.5,0.6837920000000001,0.42408
9,"('dbscan', 6, 6)",0.5,0.6837920000000001,0.42408
10,"('dbscan', 6, 7)",0.5,0.6837920000000001,0.42408
11,"('dbscan', 6, 8)",0.5,0.6837920000000001,0.42408
12,"('dbscan', 7, 3)",0.5,0.6837920000000001,0.42408
13,"('dbscan', 7, 4)",0.5,0.6837920000000001,0.42408
14,"('dbscan', 7, 5)",0.5,0.6837920000000001,0.42408
15,"('dbscan', 7, 6)",0.5,0.6837920000000001,0.42408
16,"('dbscan', 7, 7)",0.5,0.6837920000000001,0.42408
17,"('dbscan', 7, 8)",0.5,0.6837920000000001,0.42408
18,"('dbscan', 8, 3)",0.5,0.6837920000000001,0.42408
19,"('dbscan', 8, 4)",0.5,0.6837920000000001,0.42408
20,"('dbscan', 8, 5)",0.5,0.6837920000000001,0.42408
21,"('dbscan', 8, 6)",0.5,0.6837920000000001,0.42408
22,"('dbscan', 8, 7)",0.5,0.6837920000000001,0.42408
23,"('dbscan', 8, 8)",0.5,0.6837920000000001,0.42408
24,"('dbscan', 9, 3)",0.5,0.6837920000000001,0.42408
25,"('dbscan', 9, 4)",0.5,0.6837920000000001,0.42408
26,"('dbscan', 9, 5)",0.5,0.6837920000000001,0.42408
27,"('dbscan', 9, 6)",0.5,0.6837920000000001,0.42408
28,"('dbscan', 9, 7)",0.5,0.6837920000000001,0.42408
29,"('dbscan', 9, 8)",0.5,0.6837920000000001,0.42408
30,"('dbscan', 10, 3)",0.5,0.6837920000000001,0.42408
31,"('dbscan', 10, 4)",0.5,0.6837920000000001,0.42408
32,"('dbscan', 10, 5)",0.5,0.6837920000000001,0.42408
33,"('dbscan', 10, 6)",0.5,0.6837920000000001,0.42408
34,"('dbscan', 10, 7)",0.5,0.6837920000000001,0.42408
35,"('dbscan', 10, 8)",0.5,0.6837920000000001,0.42408
36,"('dbscan', 11, 3)",0.5,0.6837920000000001,0.42408
37,"('dbscan', 11, 4)",0.5,0.6837920000000001,0.42408
38,"('dbscan', 11, 5)",0.5,0.6837920000000001,0.42408
39,"('dbscan', 11, 6)",0.5,0.6837920000000001,0.42408
40,"('dbscan', 11, 7)",0.5,0.6837920000000001,0.42408
41,"('dbscan', 11, 8)",0.5,0.6837920000000001,0.42408
42,"('dbscan', 12, 3)",0.5,0.6837920000000001,0.42408
43,"('dbscan', 12, 4)",0.5,0.6837920000000001,0.42408
44,"('dbscan', 12, 5)",0.5,0.6837920000000001,0.42408
45,"('dbscan', 12, 6)",0.5,0.6837920000000001,0.42408
46,"('dbscan', 12, 7)",0.5,0.6837920000000001,0.42408
47,"('dbscan', 12, 8)",0.5,0.6837920000000001,0.42408
48,"('dbscan', 13, 3)",0.5,0.6837920000000001,0.42408
49,"('dbscan', 13, 4)",0.5,0.6837920000000001,0.42408
50,"('dbscan', 13, 5)",0.5,0.6837920000000001,0.42408
51,"('dbscan', 13, 6)",0.5,0.6837920000000001,0.42408
52,"('dbscan', 13, 7)",0.5,0.6837920000000001,0.42408
53,"('dbscan', 13, 8)",0.5,0.6837920000000001,0.42408
54,"('dbscan', 14, 3)",0.5,0.6837920000000001,0.42408
55,"('dbscan', 14, 4)",0.5,0.6837920000000001,0.42408
56,"('dbscan', 14, 5)",0.5,0.6837920000000001,0.42408
57,"('dbscan', 14, 6)",0.5,0.6837920000000001,0.42408
58,"('dbscan', 14, 7)",0.5,0.6837920000000001,0.42408
59,"('dbscan', 14, 8)",0.5,0.6837920000000001,0.42408
60,"('dbscan', 15, 3)",0.5,0.6837920000000001,0.42408
61,"('dbscan', 15, 4)",0.5,0.6837920000000001,0.42408
62,"('dbscan', 15, 5)",0.5,0.6837920000000001,0.42408
63,"('dbscan', 15, 6)",0.5,0.6837920000000001,0.42408
64,"('dbscan', 15, 7)",0.5,0.6837920000000001,0.42408
65,"('dbscan', 15, 8)",0.5,0.6837920000000001,0.42408
66,"('dbscan', 16, 3)",0.5,0.6837920000000001,0.42408
67,"('dbscan', 16, 4)",0.5,0.6837920000000001,0.42408
68,"('dbscan', 16, 5)",0.5,0.6837920000000001,0.42408
69,"('dbscan', 16, 6)",0.5,0.6837920000000001,0.42408
70,"('dbscan', 16, 7)",0.5,0.6837920000000001,0.42408
71,"('dbscan', 16, 8)",0.5,0.6837920000000001,0.42408
72,"('dbscan', 17, 3)",0.5,0.6837920000000001,0.42408
73,"('dbscan', 17, 4)",0.5,0.6837920000000001,0.42408
74,"('dbscan', 17, 5)",0.5,0.6837920000000001,0.42408
75,"('dbscan', 17, 6)",0.5,0.6837920000000001,0.42408
76,"('dbscan', 17, 7)",0.5,0.6837920000000001,0.42408
77,"('dbscan', 17, 8)",0.5,0.6837920000000001,0.42408
78,"('dbscan', 18, 3)",0.5,0.6837920000000001,0.42408
79,"('dbscan', 18, 4)",0.5,0.6837920000000001,0.42408
80,"('dbscan', 18, 5)",0.5,0.6837920000000001,0.42408
81,"('dbscan', 18, 6)",0.5,0.6837920000000001,0.42408
82,"('dbscan', 18, 7)",0.5,0.6837920000000001,0.42408
83,"('dbscan', 18, 8)",0.5,0.6837920000000001,0.42408
84,"('dbscan', 19, 3)",0.5,0.6837920000000001,0.42408
85,"('dbscan', 19, 4)",0.5,0.6837920000000001,0.42408
86,"('dbscan', 19, 5)",0.5,0.6837920000000001,0.42408
87,"('dbscan', 19, 6)",0.5,0.6837920000000001,0.42408
88,"('dbscan', 19, 7)",0.5,0.6837920000000001,0.42408
89,"('dbscan', 19, 8)",0.5,0.6837920000000001,0.42408
