,argument,ph,lof,svm
0,"('kmeans', 29)",0.856336,0.677904,0.4076
1,"('kmeans', 28)",0.8533599999999999,0.677904,0.4076
2,"('kmeans', 31)",0.851264,0.677904,0.4076
3,"('kmeans', 30)",0.8512639999999999,0.677904,0.4076
4,"('kmeans', 32)",0.8506400000000001,0.677904,0.4076
5,"('kmeans', 34)",0.848944,0.677904,0.4076
6,"('kmeans', 33)",0.833672,0.677904,0.4076
7,"('kmeans', 27)",0.823256,0.677904,0.4076
8,"('kmeans', 35)",0.780208,0.677904,0.4076
9,"('kmeans', 36)",0.7800159999999999,0.677904,0.4076
10,"('kmeans', 38)",0.772136,0.677904,0.4076
11,"('kmeans', 37)",0.7712079999999999,0.677904,0.4076
12,"('kmeans', 26)",0.7587119999999998,0.677904,0.4076
13,"('kmeans', 24)",0.7343679999999999,0.677904,0.4076
14,"('kmeans', 25)",0.7196159999999999,0.677904,0.4076
15,"('kmeans', 16)",0.673056,0.677904,0.4076
16,"('kmeans', 18)",0.585472,0.677904,0.4076
17,"('kmeans', 11)",0.583408,0.677904,0.4076
18,"('kmeans', 10)",0.579504,0.677904,0.4076
19,"('kmeans', 15)",0.5753759999999999,0.677904,0.4076
20,"('kmeans', 19)",0.572512,0.677904,0.4076
21,"('kmeans', 22)",0.5643279999999999,0.677904,0.4076
22,"('kmeans', 20)",0.5558719999999999,0.677904,0.4076
23,"('kmeans', 17)",0.546544,0.677904,0.4076
24,"('kmeans', 23)",0.54176,0.677904,0.4076
25,"('kmeans', 12)",0.510216,0.677904,0.4076
26,"('kmeans', 21)",0.501312,0.677904,0.4076
27,"('kmeans', 13)",0.471808,0.677904,0.4076
28,"('kmeans', 14)",0.46762400000000004,0.677904,0.4076
29,"('kmeans', 9)",0.45232000000000006,0.677904,0.4076
30,"('kmeans', 8)",0.417344,0.677904,0.4076
