,argument,ph,lof,svm
0,"('spectral', 33)",0.86316,0.677904,0.4076
1,"('spectral', 30)",0.8579199999999999,0.677904,0.4076
2,"('spectral', 36)",0.849304,0.677904,0.4076
3,"('spectral', 29)",0.818192,0.677904,0.4076
4,"('spectral', 28)",0.7996559999999999,0.677904,0.4076
5,"('spectral', 31)",0.799584,0.677904,0.4076
6,"('spectral', 35)",0.7876639999999999,0.677904,0.4076
7,"('spectral', 38)",0.786144,0.677904,0.4076
8,"('spectral', 25)",0.7856799999999999,0.677904,0.4076
9,"('spectral', 37)",0.768504,0.677904,0.4076
10,"('spectral', 34)",0.7683199999999999,0.677904,0.4076
11,"('spectral', 32)",0.74928,0.677904,0.4076
12,"('spectral', 21)",0.740352,0.677904,0.4076
13,"('spectral', 20)",0.7365120000000001,0.677904,0.4076
14,"('spectral', 14)",0.734352,0.677904,0.4076
15,"('spectral', 24)",0.7294160000000001,0.677904,0.4076
16,"('spectral', 18)",0.725568,0.677904,0.4076
17,"('spectral', 19)",0.7248640000000001,0.677904,0.4076
18,"('spectral', 10)",0.7194400000000001,0.677904,0.4076
19,"('spectral', 27)",0.7144640000000001,0.677904,0.4076
20,"('spectral', 23)",0.709072,0.677904,0.4076
21,"('spectral', 22)",0.708704,0.677904,0.4076
22,"('spectral', 17)",0.685168,0.677904,0.4076
23,"('spectral', 12)",0.67984,0.677904,0.4076
24,"('spectral', 13)",0.671232,0.677904,0.4076
25,"('spectral', 26)",0.64772,0.677904,0.4076
26,"('spectral', 15)",0.620128,0.677904,0.4076
27,"('spectral', 16)",0.61896,0.677904,0.4076
28,"('spectral', 11)",0.5882879999999999,0.677904,0.4076
29,"('spectral', 8)",0.578272,0.677904,0.4076
30,"('spectral', 9)",0.368576,0.677904,0.4076
