,argument,ph,lof,svm
0,"('tomato', 8)",0.6910719999999999,0.677904,0.4076
1,"('tomato', 19)",0.689984,0.677904,0.4076
2,"('tomato', 9)",0.687536,0.677904,0.4076
3,"('tomato', 31)",0.6628559999999999,0.677904,0.4076
4,"('tomato', 30)",0.66284,0.677904,0.4076
5,"('tomato', 32)",0.655168,0.677904,0.4076
6,"('tomato', 35)",0.646832,0.677904,0.4076
7,"('tomato', 29)",0.639168,0.677904,0.4076
8,"('tomato', 13)",0.6346879999999999,0.677904,0.4076
9,"('tomato', 23)",0.630112,0.677904,0.4076
10,"('tomato', 10)",0.629696,0.677904,0.4076
11,"('tomato', 18)",0.627112,0.677904,0.4076
12,"('tomato', 12)",0.626192,0.677904,0.4076
13,"('tomato', 14)",0.625456,0.677904,0.4076
14,"('tomato', 16)",0.62544,0.677904,0.4076
15,"('tomato', 11)",0.623952,0.677904,0.4076
16,"('tomato', 20)",0.623904,0.677904,0.4076
17,"('tomato', 21)",0.622432,0.677904,0.4076
18,"('tomato', 22)",0.622432,0.677904,0.4076
19,"('tomato', 15)",0.620336,0.677904,0.4076
20,"('tomato', 25)",0.61776,0.677904,0.4076
21,"('tomato', 17)",0.615776,0.677904,0.4076
22,"('tomato', 24)",0.612864,0.677904,0.4076
23,"('tomato', 33)",0.598968,0.677904,0.4076
24,"('tomato', 36)",0.597168,0.677904,0.4076
25,"('tomato', 34)",0.592696,0.677904,0.4076
26,"('tomato', 37)",0.583072,0.677904,0.4076
27,"('tomato', 38)",0.5774240000000002,0.677904,0.4076
28,"('tomato', 27)",0.5622719999999999,0.677904,0.4076
29,"('tomato', 28)",0.5596479999999998,0.677904,0.4076
30,"('tomato', 26)",0.552928,0.677904,0.4076
