,argument,ph,lof,svm
0,"('tomato', 8)",1.0,1.0,1.0
1,"('tomato', 9)",1.0,1.0,1.0
2,"('tomato', 10)",1.0,1.0,1.0
3,"('tomato', 11)",1.0,1.0,1.0
4,"('tomato', 12)",1.0,1.0,1.0
5,"('tomato', 13)",1.0,1.0,1.0
6,"('tomato', 14)",1.0,1.0,1.0
7,"('tomato', 15)",1.0,1.0,1.0
8,"('tomato', 16)",1.0,1.0,1.0
9,"('tomato', 17)",1.0,1.0,1.0
10,"('tomato', 18)",1.0,1.0,1.0
11,"('tomato', 19)",1.0,1.0,1.0
12,"('tomato', 20)",1.0,1.0,1.0
13,"('tomato', 21)",1.0,1.0,1.0
14,"('tomato', 22)",1.0,1.0,1.0
15,"('tomato', 23)",1.0,1.0,1.0
16,"('tomato', 24)",1.0,1.0,1.0
17,"('tomato', 25)",1.0,1.0,1.0
18,"('tomato', 26)",1.0,1.0,1.0
19,"('tomato', 27)",1.0,1.0,1.0
20,"('tomato', 28)",1.0,1.0,1.0
21,"('tomato', 29)",1.0,1.0,1.0
22,"('tomato', 30)",1.0,1.0,1.0
23,"('tomato', 31)",1.0,1.0,1.0
24,"('tomato', 32)",1.0,1.0,1.0
25,"('tomato', 33)",1.0,1.0,1.0
26,"('tomato', 34)",1.0,1.0,1.0
27,"('tomato', 35)",1.0,1.0,1.0
28,"('tomato', 36)",1.0,1.0,1.0
29,"('tomato', 37)",1.0,1.0,1.0
30,"('tomato', 38)",1.0,1.0,1.0
