,argument,ph,lof,svm
0,"('spectral', 21)",0.9927111111111111,0.9777777777777777,1.0
1,"('spectral', 18)",0.9815111111111111,0.9777777777777777,1.0
2,"('spectral', 20)",0.9770666666666667,0.9777777777777777,1.0
3,"('spectral', 38)",0.9749333333333334,0.9777777777777777,1.0
4,"('spectral', 30)",0.9687111111111112,0.9777777777777777,1.0
5,"('spectral', 15)",0.9672888888888889,0.9777777777777777,1.0
6,"('spectral', 27)",0.9672888888888889,0.9777777777777777,1.0
7,"('spectral', 19)",0.9655111111111111,0.9777777777777777,1.0
8,"('spectral', 10)",0.9646222222222223,0.9777777777777777,1.0
9,"('spectral', 35)",0.9639111111111112,0.9777777777777777,1.0
10,"('spectral', 32)",0.9596444444444445,0.9777777777777777,1.0
11,"('spectral', 26)",0.9585777777777778,0.9777777777777777,1.0
12,"('spectral', 33)",0.9581333333333333,0.9777777777777777,1.0
13,"('spectral', 13)",0.9580444444444445,0.9777777777777777,1.0
14,"('spectral', 24)",0.9571555555555555,0.9777777777777777,1.0
15,"('spectral', 25)",0.9569777777777778,0.9777777777777777,1.0
16,"('spectral', 28)",0.9568000000000001,0.9777777777777777,1.0
17,"('spectral', 34)",0.9541333333333333,0.9777777777777777,1.0
18,"('spectral', 11)",0.9527111111111111,0.9777777777777777,1.0
19,"('spectral', 29)",0.9514666666666666,0.9777777777777777,1.0
20,"('spectral', 23)",0.9495111111111111,0.9777777777777777,1.0
21,"('spectral', 36)",0.9470222222222222,0.9777777777777777,1.0
22,"('spectral', 37)",0.9441777777777778,0.9777777777777777,1.0
23,"('spectral', 14)",0.9417777777777778,0.9777777777777777,1.0
24,"('spectral', 22)",0.9408,0.9777777777777777,1.0
25,"('spectral', 31)",0.9393777777777778,0.9777777777777777,1.0
26,"('spectral', 9)",0.9309333333333334,0.9777777777777777,1.0
27,"('spectral', 16)",0.9208888888888889,0.9777777777777777,1.0
28,"('spectral', 17)",0.8887111111111111,0.9777777777777777,1.0
29,"('spectral', 8)",0.8161777777777778,0.9777777777777777,1.0
30,"('spectral', 12)",0.7336888888888888,0.9777777777777777,1.0
